eye1,eye2,nose,mouth,head,image_path,label
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.1361273229122162, 0.2808919847011566, 0.27166229486465454, 0.35106325149536133)",2460_png_jpg.rf.7e7dedbe50b96b8c1da6a09294db1b50.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.657985508441925, 0.500365138053894, 0.12121696770191193, 0.16909894347190857)",frame_1_jpeg_jpg.rf.b6693f13598ea1f37d0012013d817dfd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_11_10_png_jpg.rf.4abf681b9d6728feace71886bf00d893.jpg,2
"(0.19975051283836365, 0.8758165240287781)","(-1, -1)","(0.2462371289730072, 0.8919802904129028)","(-1, -1)","(0.16650274395942688, 0.8363549113273621, 0.32794100046157837, 0.27454662322998047)",754_png_jpg.rf.59651df83ac0799b66b9c0c9902a5a68.jpg,1
"(0.7478657364845276, 0.9559367895126343)","(0.7463187575340271, 0.6804515719413757)","(0.7093610763549805, 0.8535811305046082)","(0.6505976915359497, 0.8408597707748413)","(0.7984833717346191, 0.6680458188056946, 0.4021596908569336, 0.6628341674804688)",80_jpg.rf.335be5e3e8664408e1f37b7d29441f9a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7928374409675598, 0.12980669736862183, 0.411760151386261, 0.2466871440410614)",95_jpg.rf.8c6c7c9fb29161dc427a6adcfee8a963.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2363_png_jpg.rf.f6c7b21e8095194d731f32d40a8c7720.jpg,2
"(0.5331231355667114, 0.1431572586297989)","(0.37468722462654114, 0.1485910713672638)","(0.4571843147277832, 0.16346237063407898)","(0.4690818786621094, 0.2017134428024292)","(0.4624222218990326, 0.13126865029335022, 0.39902687072753906, 0.23249366879463196)",Nanit_21_JPG_jpg.rf.66d4221bcfa5fbe245a4cb9c9fcf2cb7.jpg,1
"(0.6827142834663391, 0.8817113637924194)","(-1, -1)","(0.7662855386734009, 0.8637399673461914)","(0.772564709186554, 0.8120311498641968)","(0.49336737394332886, 0.8732841610908508, 0.6392356753349304, 0.24978657066822052)",baby31_jpg.rf.55b5cb5873c697bf02523ac997d6ac5e.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",28_jpg.rf.66692b6b4309013ae7d259fc38cd0714.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8027927279472351, 0.6811600923538208, 0.19917774200439453, 0.14026394486427307)",baby31_jpg.rf.825494a369c1e344328f85ccaaebe6c3.jpg,1
"(0.7365723848342896, 0.7844901084899902)","(0.8206037282943726, 0.7341740727424622)","(0.7528647184371948, 0.7264782786369324)","(0.7060486674308777, 0.6985475420951843)","(0.8071781396865845, 0.820538341999054, 0.3794586658477783, 0.3307587206363678)",100_jpg.rf.08c8540b0645311a24da446fa06eb64d.jpg,1
