filename,x1,y1,x2,y2,class
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,286,310,441,637,1
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,288,311,354,505,3
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,163,0,305,422,3
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,273,249,294,334,5
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,302,461,311,497,5
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,308,482,319,507,4
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,268,323,297,375,4
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,282,223,295,254,2
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,247,265,268,296,2
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,303,420,312,450,2
crawler_baby_hospital_000071_jpg.rf.ade47c52a348334360aab9910c1a4200.jpg,297,466,303,488,2
crawler_baby_eyes_000511_jpg.rf.a920084d69f7ab562df1c902a77c5d29.jpg,304,133,382,171,2
crawler_baby_eyes_000511_jpg.rf.a920084d69f7ab562df1c902a77c5d29.jpg,155,124,228,162,2
crawler_baby_eyes_000511_jpg.rf.a920084d69f7ab562df1c902a77c5d29.jpg,204,286,317,329,4
crawler_baby_eyes_000511_jpg.rf.a920084d69f7ab562df1c902a77c5d29.jpg,128,0,505,366,3
crawler_baby_eyes_000511_jpg.rf.a920084d69f7ab562df1c902a77c5d29.jpg,0,0,639,639,1
crawler_baby_eyes_000511_jpg.rf.a920084d69f7ab562df1c902a77c5d29.jpg,215,176,304,260,5
crawler_baby_eyes_000020_jpg.rf.ac825ffee7d6b72cd3ca8eb3b474c11d.jpg,1,0,640,637,3
crawler_baby_eyes_000020_jpg.rf.ac825ffee7d6b72cd3ca8eb3b474c11d.jpg,404,134,589,259,2
crawler_baby_eyes_000020_jpg.rf.ac825ffee7d6b72cd3ca8eb3b474c11d.jpg,46,137,225,251,2
crawler_baby_eyes_000020_jpg.rf.ac825ffee7d6b72cd3ca8eb3b474c11d.jpg,194,481,450,606,4
crawler_baby_eyes_000020_jpg.rf.ac825ffee7d6b72cd3ca8eb3b474c11d.jpg,0,0,637,637,1
crawler_baby_eyes_000020_jpg.rf.ac825ffee7d6b72cd3ca8eb3b474c11d.jpg,207,221,423,418,5
crawler_baby_ng_tube_000007_jpg.rf.adf14e5bc234b7c3ce73571b3e557b81.jpg,1,2,542,640,1
crawler_baby_ng_tube_000007_jpg.rf.adf14e5bc234b7c3ce73571b3e557b81.jpg,222,399,310,453,2
crawler_baby_ng_tube_000007_jpg.rf.adf14e5bc234b7c3ce73571b3e557b81.jpg,418,415,493,469,2
crawler_baby_ng_tube_000007_jpg.rf.adf14e5bc234b7c3ce73571b3e557b81.jpg,102,8,530,636,3
crawler_baby_ng_tube_000007_jpg.rf.adf14e5bc234b7c3ce73571b3e557b81.jpg,301,495,435,602,5
crawler_baby_eyes_000556_jpg.rf.adb7065c73f7b6709bdfbcc05cb14253.jpg,338,256,440,297,2
crawler_baby_eyes_000556_jpg.rf.adb7065c73f7b6709bdfbcc05cb14253.jpg,153,198,251,246,2
