eye1,eye2,nose,mouth,head,image_path,label
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.1361273229122162, 0.2808919847011566, 0.27166229486465454, 0.35106325149536133)",2460_png_jpg.rf.7e7dedbe50b96b8c1da6a09294db1b50.jpg,1
"(0.7478657364845276, 0.9559367895126343)","(0.7463187575340271, 0.6804515719413757)","(0.7093610763549805, 0.8535811305046082)","(0.6505976915359497, 0.8408597707748413)","(0.7984833717346191, 0.6680458188056946, 0.4021596908569336, 0.6628341674804688)",80_jpg.rf.335be5e3e8664408e1f37b7d29441f9a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8873835802078247, 0.7991473078727722, 0.2227916717529297, 0.3851903975009918)",3683_png_jpg.rf.f1e0f73267c0f4c6a96ba03c90b14767.jpg,1
"(0.5331231355667114, 0.1431572586297989)","(0.37468722462654114, 0.1485910713672638)","(0.4571843147277832, 0.16346237063407898)","(0.4690818786621094, 0.2017134428024292)","(0.4624222218990326, 0.13126865029335022, 0.39902687072753906, 0.23249366879463196)",Nanit_21_JPG_jpg.rf.66d4221bcfa5fbe245a4cb9c9fcf2cb7.jpg,0
"(0.8597061038017273, 0.5980938673019409)","(0.8463156819343567, 0.7286936044692993)","(0.8270098567008972, 0.6580310463905334)","(0.7889798879623413, 0.6481287479400635)","(0.8659197092056274, 0.6576312780380249, 0.26434382796287537, 0.3245810568332672)",50_jpg.rf.93d6c51bfd14a04c261f1bfff343ad43.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.15387094020843506, 0.7129117846488953, 0.265716016292572, 0.38067054748535156)",2002_png_jpg.rf.9a75847b8e9c4407bef3395138f47ed2.jpg,1
"(0.8486160039901733, 0.7524315118789673)","(0.8523576855659485, 0.9579517245292664)","(0.8263246417045593, 0.8836610913276672)","(0.7694188356399536, 0.9021841287612915)","(0.8491144180297852, 0.6750911474227905, 0.2977015972137451, 0.6352608799934387)",81_jpg.rf.157e309f5d220d8eb2be39d096121555.jpg,1
"(0.16330739855766296, 0.8135848045349121)","(-1, -1)","(0.1327396035194397, 0.7785215377807617)","(-1, -1)","(0.3702852129936218, 0.8637616038322449, 0.5370358228683472, 0.27056941390037537)",7_jpg.rf.e6726d84870d1853e949317db2bcf3cf.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.37677237391471863, 0.8851852416992188, 0.3820638060569763, 0.22308087348937988)",9500_png_jpg.rf.9bfcd7631a59ef6aa7d11e210c90b33d.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_03_JPG_jpg.rf.f3b0ccbc44d723882e5716a1e256b429.jpg,1
"(0.16156736016273499, 0.813807487487793)","(-1, -1)","(0.13321368396282196, 0.7788398265838623)","(-1, -1)","(0.3682803213596344, 0.8688166737556458, 0.5395635366439819, 0.26152610778808594)",7_jpg.rf.ac00c7f48a93dc0e34cce7f37c59cef0.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8608678579330444, 0.26346951723098755, 0.27741891145706177, 0.3574513792991638)",2424_png_jpg.rf.f236180b7605c7766ea94c8a6cc6bfd5.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.12058476358652115, 0.2094005048274994, 0.23829343914985657, 0.37873250246047974)",baby23_jpg.rf.cd7b96161bcff67060328adb30db3bb8.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.855710506439209, 0.8194683790206909, 0.2821529507637024, 0.30584144592285156)",2189_png_jpg.rf.c6901697371d51bfaf9a9f55525b46f7.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8811842203140259, 0.6191060543060303, 0.23583979904651642, 0.447154700756073)",baby14_jpg.rf.238ec27ffc341714ebe68dabeb071472.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8713809251785278, 0.529894232749939, 0.2359251081943512, 0.4262828826904297)",Nanit_16_JPG_jpg.rf.8d747c4c49746efb9b19334f1e71498e.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.14162003993988037, 0.35274726152420044, 0.21716399490833282, 0.4299873411655426)",922_png_jpg.rf.d6b651e62512eec7667c90bb67dde35c.jpg,1
"(0.4800967276096344, 0.8595895767211914)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",28_jpg.rf.c62c336d78989fec780d6b956d6742f8.jpg,0
"(0.6433860659599304, 0.8627899289131165)","(-1, -1)","(0.6948471665382385, 0.8269365429878235)","(0.6797605752944946, 0.7793260812759399)","(0.5170103907585144, 0.8651598691940308, 0.40536537766456604, 0.2658495008945465)",baby36_jpg.rf.82c44da8e1b2f9d5acc161721147d9e6.jpg,0
"(0.8005143404006958, 0.5574994087219238)","(0.7854918241500854, 0.7484992742538452)","(0.7600864171981812, 0.656944215297699)","(0.7163605690002441, 0.6289512515068054)","(0.8278989791870117, 0.6146132946014404, 0.3201257586479187, 0.4531926214694977)",91_JPG_jpg.rf.02bc60293ad65f63dfc40d0cbdc3aff1.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4989016056060791, 0.8651138544082642, 0.40778693556785583, 0.2622462809085846)",38_jpg.rf.54d01c8c841521d5d809338091ed8569.jpg,0
"(0.12614992260932922, 0.5193334817886353)","(-1, -1)","(-1, -1)","(-1, -1)","(0.13481613993644714, 0.681648850440979, 0.26852288842201233, 0.5399124026298523)",baby2_jpg.rf.aa8f592b72aee5e60103eab3156e73c5.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4228389859199524, 0.8589135408401489, 0.5564958453178406, 0.2641977369785309)",Nanit_07_JPG_jpg.rf.e136680578b0a0fa370d9e82653e6e1d.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5599321126937866, 0.8925684690475464, 0.494382381439209, 0.21348361670970917)",Cubo_06_JPG_jpg.rf.bdbbcbdda428cf6e9f362a0a69ee1e72.jpg,1
"(0.35336834192276, 0.822727382183075)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5654624104499817, 0.8610895276069641, 0.5911531448364258, 0.26938357949256897)",15_jpg.rf.7ffc9a294e3ae2b729c1d689d7548131.jpg,0
"(0.36885350942611694, 0.12316939979791641)","(0.5233908891677856, 0.11275534331798553)","(0.4387285113334656, 0.1374206244945526)","(0.453803151845932, 0.18883614242076874)","(0.5160921812057495, 0.1295965015888214, 0.47217559814453125, 0.25849077105522156)",38_jpg.rf.0e0534263030c5c876129ff891600a0d.jpg,0
"(0.3860301077365875, 0.8441129922866821)","(0.2624465823173523, 0.8250433206558228)","(0.32266154885292053, 0.8124068379402161)","(0.3333839476108551, 0.7613241672515869)","(0.3457038998603821, 0.8367000818252563, 0.3102726936340332, 0.2987307906150818)",baby24_jpg.rf.26333d7ecdaf04dc22dcd9d0e31b4c33.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8830016851425171, 0.8070417642593384, 0.2298431396484375, 0.3786522448062897)",3739_png_jpg.rf.756ca78723b9469c9f61d881af21754e.jpg,1
"(0.814000129699707, 0.5569294095039368)","(0.8513156771659851, 0.4636535048484802)","(0.8021556735038757, 0.48790329694747925)","(0.7686988115310669, 0.47490817308425903)","(0.8541126251220703, 0.5536767244338989, 0.2875007092952728, 0.30567532777786255)",baby9_jpg.rf.def20e5c01e84757f8cb73d4981a266d.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_29_JPG_jpg.rf.d3fac117949a3e41c8b7721ecc6f2f02.jpg,1
"(0.4391416907310486, 0.13423068821430206)","(0.251988023519516, 0.12481820583343506)","(0.31898877024650574, 0.15595506131649017)","(0.3210834264755249, 0.2077273428440094)","(0.41758567094802856, 0.13771109282970428, 0.46735936403274536, 0.2602894902229309)",33_JPG_jpg.rf.fd7a56f7316683a9317f42c08a3c831b.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",56_jpg.rf.a988d7d64a2b26f17462f7e4e50d06fb.jpg,1
"(0.1520446091890335, 0.43460169434547424)","(0.1496267467737198, 0.5380626916885376)","(0.17951339483261108, 0.49067068099975586)","(0.2195930778980255, 0.4906696677207947)","(0.1356995403766632, 0.4833919405937195, 0.2468666136264801, 0.24671363830566406)",73_jpg.rf.2ba6b543f91d23fc088209ade42e1aa4.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.3825191855430603, 0.8871749639511108, 0.3678217828273773, 0.21901516616344452)",9563_png_jpg.rf.4176627b8b0827e777d6d3e016548be4.jpg,1
"(0.4270865023136139, 0.18465566635131836)","(0.3014610707759857, 0.17307090759277344)","(0.3388821482658386, 0.1988760083913803)","(0.46152830123901367, 0.5204057097434998)","(0.4927101731300354, 0.1541977971792221, 0.5098865628242493, 0.29942023754119873)",baby5_jpg.rf.873b1a26de1e2fa90c54a11ab0e7e84b.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.13853327929973602, 0.36050882935523987, 0.21380667388439178, 0.4084591865539551)",922_png_jpg.rf.1fdc43cfcf00ec7b9bedcd90b5780f44.jpg,1
"(0.8397347331047058, 0.36726832389831543)","(0.8182206153869629, 0.5664488077163696)","(0.8035978078842163, 0.43895500898361206)","(0.7627727389335632, 0.4220205247402191)","(0.8503357172012329, 0.5673649907112122, 0.28708919882774353, 0.6293066143989563)",baby45_jpg.rf.3e02507bd0a31a5c7554a50d37ac1e87.jpg,1
"(0.6437807083129883, 0.8628925085067749)","(-1, -1)","(0.6949084401130676, 0.8272374868392944)","(0.680169939994812, 0.7795158624649048)","(0.5169996023178101, 0.8649736642837524, 0.4053991436958313, 0.26635557413101196)",baby36_jpg.rf.6be1c2c19820bbbb24e7311493ab497c.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8582018613815308, 0.7204251289367676, 0.2757730484008789, 0.3810462951660156)",1923_png_jpg.rf.502dcc5a754c2030112014e15635f93d.jpg,1
